name
Ивашечкин Борис Епифанович
Ханилов Демьян Никонович
Закрятин Андрей Тихонович
Жуков Измаил Саввевич
Зимин Максим Проклович
Теплых Даниил Несторович
Тарин Пахом Саввевич
Князев Андрон Мечиславович
Резяпкин Савелий Ираклиевич
Ванзин Ростислав Самуилович
Юмашев Георгий Алексеевич
Богачёв Ефрем Андронович
Луньков Тихон Ипатиевич
Курицын Сергей Прокофиевич
Каунайте Самсон Миронович
Апалков Юлиан Кириллович
Божко Варфоломей Артемиевич
Орлов Елизар Платонович
Охрема Станислав Владиславович
Яков Афанасий Евграфович
Хорошавцев Семён Юриевич
Элькин Лев Герасимович
Голубов Феофан Валериевич
Сухарников Антип Леонович
Афанасьев Семён Геннадиевич
Ржевский Валерьян Давыдович
Шинский Ким Агапович
Теплухин Святослав Ипатиевич
Счастливцев Харитон Филиппович
Курчин Моисей Назарович
Авдошкин Святослав Фролович
Шатов Афанасий Измаилович
Рогов Ипполит Несторович
Яковленко Антип Вадимович
Оськин Роман Архипович
Ядов Ипполит Севастьянович
Кошков Казимир Ильевич
Барышников Лаврентий Всеволодович
Сьянов Юлиан Ростиславович
Сиянских Аскольд Наумович
Никитин Феликс Игоревич
Митасов Владилен Савелиевич
Русанов Агап Гаврилевич
Богун Леонид Валерьянович
Керимбаев Онуфрий Валерьянович
Горев Феофан Ипполитович
Барановский Валентин Мартьянович
Разумов Пимен Агапович
Берков Дмитрий Епифанович
Нюхтилин Эммануил Моисеевич
Чунц Терентий Архипович
Жеффре Зиновий Эмилевич
Ялчевский Ярослав Брониславович
Бугаков Онуфрий Викентиевич
Николин Платон Климентович
Николенко Феликс Валериевич
Родин Давид Анатолиевич
Дудченко Антип Филиппович
Сиян Ефрем Измаилович
Унковский Дмитрий Сергеевич
Кузьмин Измаил Георгиевич
Шишкарёв Егор Моисеевич
Дагин Артём Ульянович
Москалев Онуфрий Леонидович
Егоров Клавдий Артемиевич
Тычкин Евгений Евграфович
Чичиков Максимильян Измаилович
Касьянов Антип Саввевич
Трусов Роман Фомевич
Каганович Олег Эрнестович
Ясавеев Петр Артемович
Сюкосев Игорь Ефремович
Агабабян Иван Архипович
Кондраков Данила Аполлинариевич
Бебчук Прокл Онисимович
Сиянский Евсей Титович
Ямпольский Павел Ипатович
Ерохин Якуб Иннокентиевич
Юневич Тихон Андриянович
Тетерев Владимир Григориевич
Капица Яков Кондратович
Серов Лука Алексеевич
Соломинцев Яков Егорович
Алпатов Аскольд Ростиславович
Перевёртов Григорий Миронович
Толмачёв Эрнст Александрович
Торсунов Фома Сократович
Моисеев Савелий Иванович
Халски Данила Филиппович
Ольховский Яков Онисимович
Гордеев Игорь Валериевич
Лидин Григорий Ульянович
Катасонов Демьян Геннадиевич
Дудко Платон Ипатович
Хитрово Сократ Касьянович
Явид Филимон Эрнестович
Ильюшин Андрей Афанасиевич
Плаксин Дементий Титович
Аверьянов Авдей Евграфович
Гольдин Юлий Глебович
